Year,Gender,Hours in gym(1 week),when to sleep,sleeping hours,GPA,Units,where to study
sophomore,F,0-2,12-1,7-8h,4,16-19,library or cox
sophomore,M,4-7,1-2,7-8h,4,20-22,lounge
sophomore,F,4-7,12-1,6-7h,3.8-4.0,16-19,Room
sophomore,M,0-2,1-2,6-7h,3.8-4.0,16-19,library or cox
junior,M,0,before 12,6-7h,3.5-3.8,13-15,library or cox
sophomore,F,>7,before 12,<6h,3.8-4.0,16-19,library or cox
sophomore,F,2-4,before 12,<6h,4,16-19,library or cox
senior,F,0,12-1,6-7h,3.5-3.8,16-19,Room
sophomore,M,4-7,before 12,7-8h,3.8-4.0,16-19,lounge
freshmen,M,4-7,1-2,7-8h,3.8-4.0,16-19,lounge
freshmen,F,0-2,before 12,8-9h,3.5-3.8,16-19,library or cox
sophomore,F,0-2,1-2,6-7h,3.8-4.0,16-19,library or cox
senior,M,4-7,1-2,7-8h,3.8-4.0,13-15,library or cox
senior,M,4-7,before 12,6-7h,3.8-4.0,20-22,Room
sophomore,M,0,after 2,<6h,3-3.5,16-19,Room
freshmen,M,2-4,after 2,7-8h,3.5-3.8,13-15,lounge
senior,F,0,after 2,<6h,4,20-22,library or cox
freshmen,F,4-7,1-2,7-8h,3.5-3.8,16-19,lounge
freshmen,F,2-4,before 12,7-8h,4,16-19,Room
junior,F,0-2,after 2,<6h,3.5-3.8,16-19,Room
freshmen,F,0,after 2,6-7h,3.8-4.0,12,Room
sophomore,F,0-2,after 2,<6h,3.5-3.8,16-19,library or cox
freshmen,F,0-2,1-2,6-7h,4,16-19,library or cox
freshmen,F,2-4,1-2,6-7h,3-3.5,13-15,lounge
freshmen,F,0,after 2,<6h,3.8-4.0,16-19,Room
freshmen,M,2-4,12-1,8-9h,4,16-19,lounge
sophomore,F,0,1-2,7-8h,3.5-3.8,13-15,Room
freshmen,M,2-4,1-2,7-8h,3.5-3.8,16-19,Room
freshmen,F,0-2,before 12,6-7h,3.5-3.8,16-19,Room
freshmen,F,0-2,after 2,<6h,3.8-4.0,16-19,library or cox
freshmen,M,4-7,1-2,7-8h,3.8-4.0,16-19,library or cox
junior,F,>7,before 12,6-7h,3.8-4.0,20-22,Room
sophomore,F,0,1-2,7-8h,3.8-4.0,16-19,Room
junior,F,0,after 2,6-7h,4,16-19,Room
junior,M,0,12-1,7-8h,3.8-4.0,16-19,Room
freshmen,F,2-4,12-1,7-8h,,16-19,library or cox
sophomore,F,0-2,1-2,6-7h,3.5-3.8,16-19,Room
freshmen,F,0-2,12-1,8-9h,3.8-4.0,13-15,Room
freshmen,F,0,before 12,8-9h,3.5-3.8,16-19,lounge
sophomore,F,0,after 2,<6h,3.8-4.0,20-22,lounge
sophomore,F,2-4,1-2,7-8h,3-3.5,16-19,Room
junior,M,0-2,after 2,7-8h,3.8-4.0,20-22,Room
sophomore,F,4-7,12-1,6-7h,3.5-3.8,16-19,library or cox
senior,F,0-2,1-2,8-9h,3.5-3.8,13-15,Room
sophomore,F,0,12-1,>9h,3.8-4.0,20-22,lounge
sophomore,F,0-2,12-1,7-8h,3.5-3.8,20-22,lounge
sophomore,F,0-2,12-1,<6h,4,20-22,library or cox
sophomore,M,2-4,12-1,7-8h,3.8-4.0,16-19,library or cox
sophomore,F,0-2,1-2,6-7h,3.8-4.0,16-19,library or cox
sophomore,F,4-7,before 12,7-8h,3.8-4.0,20-22,Room
sophomore,M,0-2,1-2,6-7h,3.8-4.0,16-19,Room
junior,F,0,1-2,6-7h,3.5-3.8,13-15,library or cox
sophomore,M,2-4,12-1,7-8h,4,16-19,library or cox
junior,F,2-4,1-2,6-7h,3.8-4.0,16-19,Room
junior,M,0,1-2,8-9h,3.8-4.0,16-19,lounge
sophomore,M,2-4,1-2,6-7h,3.8-4.0,20-22,Room
senior,M,0,after 2,6-7h,3.8-4.0,20-22,library or cox
sophomore,M,2-4,12-1,8-9h,3.5-3.8,20-22,Room
freshmen,F,0-2,1-2,6-7h,4,20-22,Room
senior,F,2-4,after 2,6-7h,4,13-15,Room
senior,M,2-4,12-1,7-8h,3.8-4.0,16-19,Room
sophomore,F,0,12-1,6-7h,3.8-4.0,20-22,Room
freshmen,F,0-2,12-1,7-8h,3.8-4.0,20-22,Room
freshmen,M,0,after 2,6-7h,3.5-3.8,16-19,library or cox
senior,M,4-7,1-2,7-8h,3.5-3.8,13-15,Room
freshmen,F,0,12-1,<6h,4,20-22,Room
freshmen,F,2-4,12-1,7-8h,3.5-3.8,16-19,Room
sophomore,M,0,1-2,6-7h,3.8-4.0,20-22,lounge
senior,F,2-4,1-2,8-9h,3.5-3.8,16-19,Room
sophomore,F,0-2,1-2,6-7h,3.5-3.8,16-19,library or cox
senior,F,2-4,12-1,8-9h,3.8-4.0,13-15,Room
sophomore,F,0,after 2,7-8h,3.5-3.8,20-22,lounge
senior,F,0-2,12-1,6-7h,3.8-4.0,13-15,library or cox
senior,M,>7,before12,8-9h,3.5-3.8,20-22,library or cox
sophomore,F,0,12-1,8-9h,3.5-3.8,16-19,Room
freshmen,F,0-2,after 2,>9h,3-3.5,16-19,Room
sophomore,M,0-2,1-2,6-7h,3.8-4.0,20-22,library or cox
freshmen,M,2-4,1-2,7-8h,3.8-4.0,16-19,library or cox
sophomore,F,4-7,before 12,7-8h,3.8-4.0,20-22,library or cox
senior,M,0-2,12-1,6-7h,3.5-3.8,13-15,library or cox